1.403	1.00	3.00	0.00
1.504	0.99	3.20	0.00
1.603	1.95	3.40	0.00
1.703	2.82	3.59	0.00
1.803	4.59	3.78	0.00
1.903	5.21	3.96	0.00
2.004	4.66	4.13	0.00
2.104	5.93	4.29	0.00
2.204	6.00	4.43	0.00
2.304	4.87	4.57	0.00
2.404	5.55	4.68	0.00
2.504	5.04	4.78	0.00
2.604	4.38	4.86	0.00
2.704	2.58	4.93	0.00
2.805	2.67	4.97	0.00
2.905	0.71	4.99	0.00
3.005	0.71	5.00	0.00
3.105	-0.28	4.98	0.00
3.205	-1.21	4.95	0.00
3.305	-2.06	4.89	0.00
3.405	-3.78	4.82	0.00
3.505	-4.36	4.73	0.00
3.606	-3.76	4.62	0.00
3.706	-3.97	4.49	0.00
3.806	-3.98	4.35	0.00
3.906	-3.79	4.20	0.00
4.006	-4.42	4.03	0.00
4.106	-3.86	3.85	0.00
4.206	-3.16	3.67	0.00
4.306	-1.32	3.48	0.00
4.407	-1.40	3.28	0.00
4.507	-0.42	3.08	0.00
4.607	1.58	2.88	0.00
4.707	1.56	2.68	0.00
4.807	3.47	2.49	0.00
4.907	4.28	2.30	0.00
5.007	4.97	2.11	0.00
5.108	4.49	1.94	0.00
5.208	4.84	1.78	0.00
5.308	5.99	1.62	0.00
5.408	4.95	1.49	0.00
5.508	5.70	1.36	0.00
5.608	5.27	1.26	0.00
5.709	3.67	1.17	0.00
5.808	2.92	1.10	0.00
5.909	3.06	1.04	0.00
6.009	1.11	1.01	0.00
6.109	0.12	1.00	0.00
6.209	0.13	1.01	0.00
6.309	-1.83	1.04	0.00
6.409	-1.72	1.08	0.00
6.510	-3.50	1.15	0.00
6.610	-4.14	1.23	0.00
6.710	-3.61	1.34	0.00
6.810	-4.90	1.45	0.00
6.910	-4.00	1.59	0.00
7.010	-3.90	1.74	0.00
7.110	-4.60	1.90	0.00
7.210	-3.11	2.07	0.00
7.311	-3.47	2.25	0.00
7.411	-1.68	2.44	0.00
7.511	-1.79	2.64	0.00
7.611	-0.83	2.83	0.00
7.711	0.17	3.03	0.00
7.812	1.16	3.23	0.00
7.912	3.10	3.43	0.00
8.012	2.96	3.62	0.00
8.112	4.70	3.81	0.00
8.212	4.30	3.99	0.00
8.312	5.72	4.16	0.00
8.412	5.95	4.31	0.00
8.512	5.99	4.46	0.00
8.613	4.83	4.59	0.00
8.713	5.47	4.70	0.00
8.813	3.94	4.80	0.00
8.913	3.25	4.88	0.00
9.013	3.43	4.94	0.00
9.113	2.52	4.98	0.00
9.213	0.54	5.00	0.00
9.313	-0.46	5.00	0.00
9.413	-1.44	4.98	0.00
9.514	-2.36	4.94	0.00
9.614	-3.19	4.88	0.00
9.714	-3.89	4.80	0.00
9.814	-4.44	4.71	0.00
9.914	-4.81	4.60	0.00
10.014	-4.98	4.47	0.00
10.114	-4.96	4.33	0.00
10.214	-3.74	4.17	0.00
10.315	-3.34	4.00	0.00
10.415	-2.75	3.82	0.00
10.515	-2.02	3.64	0.00
10.615	-1.17	3.45	0.00
10.715	-0.23	3.25	0.00
10.815	-0.25	3.05	0.00
10.915	0.75	2.85	0.00
11.015	2.72	2.65	0.00
11.116	2.62	2.46	0.00
11.216	4.41	2.27	0.00
11.316	4.07	2.08	0.00
11.416	5.56	1.91	0.00
11.516	4.88	1.75	0.00
11.616	6.00	1.60	0.00
11.716	5.92	1.46	0.00
11.816	5.64	1.34	0.00
11.917	5.18	1.24	0.00
12.017	3.56	1.15	0.00
12.117	3.79	1.09	0.00
12.217	2.91	1.04	0.00
12.317	1.95	1.01	0.00
12.417	-0.04	1.00	0.00
12.517	-1.04	1.01	0.00
12.618	-0.99	1.04	0.00
12.718	-1.86	1.09	0.00
12.818	-2.62	1.16	0.00
12.918	-4.23	1.25	0.00
13.018	-4.68	1.35	0.00
13.118	-3.93	1.48	0.00
13.218	-4.00	1.61	0.00
13.318	-3.86	1.76	0.00
13.419	-3.53	1.93	0.00
13.519	-4.02	2.10	0.00
13.619	-3.34	2.28	0.00
13.719	-2.54	2.47	0.00
13.819	-0.63	2.67	0.00
13.919	-0.66	2.87	0.00
14.019	1.34	3.07	0.00
14.120	2.32	3.27	0.00
14.220	3.25	3.46	0.00
14.320	3.09	3.65	0.00
14.420	4.81	3.84	0.00
14.520	4.38	4.02	0.00
14.621	5.77	4.18	0.00
14.720	4.97	4.34	0.00
14.821	5.98	4.48	0.00
14.921	5.78	4.61	0.00
15.021	4.40	4.72	0.00
15.121	4.84	4.81	0.00
15.221	3.12	4.89	0.00
15.321	2.28	4.94	0.00
15.421	1.35	4.98	0.00
15.521	1.37	5.00	0.00
15.621	0.37	5.00	0.00
15.722	-0.60	4.97	0.00
15.822	-1.51	4.93	0.00
1.404	1.00	3.00	1.00
1.503	1.60	3.20	0.99
1.603	2.17	3.40	1.95
1.703	2.69	3.59	2.82
1.804	3.15	3.78	4.59
1.904	3.52	3.96	5.21
2.004	3.80	4.13	4.66
2.104	3.96	4.29	5.93
2.204	4.00	4.43	6.00
2.304	3.92	4.57	4.87
2.404	3.73	4.68	5.55
2.504	3.43	4.78	5.04
2.605	3.03	4.86	4.38
2.705	2.55	4.93	2.58
2.805	2.00	4.97	2.67
2.905	1.42	4.99	0.71
3.005	0.82	5.00	0.71
3.105	0.23	4.98	-0.28
3.205	-0.33	4.95	-1.21
3.305	-0.84	4.89	-2.06
3.406	-1.27	4.82	-3.78
3.506	-1.61	4.73	-4.36
3.606	-1.85	4.62	-3.76
3.706	-1.98	4.49	-3.97
